"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 24 13:42:28 CET 2022","Sat Dec 24 13:42:28 CET 2022","52","","The Internet Guinea Pig Website_1: As a user, I can log into the secure area","","The Internet Guinea Pig Website_1: As a user, I can log into the secure area","Then I should see a flash message saying You logged into a secure area!","Then I should see a flash message saying You logged into a secure area!",""
"passed","Sat Dec 24 13:42:24 CET 2022","Sat Dec 24 13:42:24 CET 2022","22","","The Internet Guinea Pig Website_4: As a user, I want to make sure that the second checkbox is selected","","The Internet Guinea Pig Website_4: As a user, I want to make sure that the second checkbox is selected","When I find the first CheckBox","When I find the first CheckBox",""
"passed","Sat Dec 24 13:42:16 CET 2022","Sat Dec 24 13:42:27 CET 2022","10874","","The Internet Guinea Pig Website_1: As a user, I can log into the secure area","","The Internet Guinea Pig Website_1: As a user, I can log into the secure area","Given I am on the login page","Given I am on the login page",""
"passed","Sat Dec 24 13:42:24 CET 2022","Sat Dec 24 13:42:24 CET 2022","1","","The Internet Guinea Pig Website_3: As a user, I can read text from Frame elements","","The Internet Guinea Pig Website_3: As a user, I can read text from Frame elements","","",""
"passed","Sat Dec 24 13:42:25 CET 2022","Sat Dec 24 13:42:25 CET 2022","50","","Check access: As a user, I can't log into the secure area","","Check access: As a user, I can't log into the secure area","Then I see an error flash Your username is invalid!","Then I see an error flash Your username is invalid!",""
"passed","Sat Dec 24 13:42:24 CET 2022","Sat Dec 24 13:42:24 CET 2022","27","","The Internet Guinea Pig Website_4: As a user, I want to make sure that the second checkbox is selected","","The Internet Guinea Pig Website_4: As a user, I want to make sure that the second checkbox is selected","Then I need make sure that second CheckBox is selected by default","Then I need make sure that second CheckBox is selected by default",""
"passed","Sat Dec 24 13:42:16 CET 2022","Sat Dec 24 13:42:24 CET 2022","7713","","The Internet Guinea Pig Website_2: As a user, I can select option in dropdown","","The Internet Guinea Pig Website_2: As a user, I can select option in dropdown","Given I am on dropdown page","Given I am on dropdown page",""
"passed","Sat Dec 24 13:42:24 CET 2022","Sat Dec 24 13:42:24 CET 2022","75","","The Internet Guinea Pig Website_2: As a user, I can select option in dropdown","","The Internet Guinea Pig Website_2: As a user, I can select option in dropdown","Then I need make sure that option is selected and have a Option 1","Then I need make sure that option is selected and have a Option 1",""
"passed","Sat Dec 24 13:42:24 CET 2022","Sat Dec 24 13:42:24 CET 2022","1","","The Internet Guinea Pig Website_4: As a user, I want to make sure that the second checkbox is selected","","The Internet Guinea Pig Website_4: As a user, I want to make sure that the second checkbox is selected","","",""
"passed","Sat Dec 24 13:42:28 CET 2022","Sat Dec 24 13:42:28 CET 2022","0","","The Internet Guinea Pig Website_1: As a user, I can log into the secure area","","The Internet Guinea Pig Website_1: As a user, I can log into the secure area","","",""
"passed","Sat Dec 24 13:42:24 CET 2022","Sat Dec 24 13:42:24 CET 2022","67","","The Internet Guinea Pig Website_3: As a user, I can read text from Frame elements","","The Internet Guinea Pig Website_3: As a user, I can read text from Frame elements","When I go to Frame","When I go to Frame",""
"passed","Sat Dec 24 13:42:25 CET 2022","Sat Dec 24 13:42:25 CET 2022","1","","Check access: As a user, I can't log into the secure area","","Check access: As a user, I can't log into the secure area","","",""
"passed","Sat Dec 24 13:42:16 CET 2022","Sat Dec 24 13:42:24 CET 2022","7608","","The Internet Guinea Pig Website_4: As a user, I want to make sure that the second checkbox is selected","","The Internet Guinea Pig Website_4: As a user, I want to make sure that the second checkbox is selected","Given I go to the CheckBox page","Given I go to the CheckBox page",""
"passed","Sat Dec 24 13:42:27 CET 2022","Sat Dec 24 13:42:28 CET 2022","527","","The Internet Guinea Pig Website_1: As a user, I can log into the secure area","","The Internet Guinea Pig Website_1: As a user, I can log into the secure area","When I login with tomsmith and SuperSecretPassword!","When I login with tomsmith and SuperSecretPassword!",""
"passed","Sat Dec 24 13:42:24 CET 2022","Sat Dec 24 13:42:24 CET 2022","1","","The Internet Guinea Pig Website_2: As a user, I can select option in dropdown","","The Internet Guinea Pig Website_2: As a user, I can select option in dropdown","","",""
"passed","Sat Dec 24 13:42:16 CET 2022","Sat Dec 24 13:42:24 CET 2022","7938","","Check access: As a user, I can't log into the secure area","","Check access: As a user, I can't log into the secure area","Given I'am on the login page","Given I'am on the login page",""
"passed","Sat Dec 24 13:42:24 CET 2022","Sat Dec 24 13:42:25 CET 2022","529","","Check access: As a user, I can't log into the secure area","","Check access: As a user, I can't log into the secure area","When I'm using invalid foobar and barfoo","When I'm using invalid foobar and barfoo",""
"passed","Sat Dec 24 13:42:24 CET 2022","Sat Dec 24 13:42:24 CET 2022","56","","The Internet Guinea Pig Website_2: As a user, I can select option in dropdown","","The Internet Guinea Pig Website_2: As a user, I can select option in dropdown","When I select an option","When I select an option",""
"passed","Sat Dec 24 13:42:16 CET 2022","Sat Dec 24 13:42:24 CET 2022","8111","","The Internet Guinea Pig Website_3: As a user, I can read text from Frame elements","","The Internet Guinea Pig Website_3: As a user, I can read text from Frame elements","Given I go to iFrame page","Given I go to iFrame page",""
"passed","Sat Dec 24 13:42:24 CET 2022","Sat Dec 24 13:42:24 CET 2022","37","","The Internet Guinea Pig Website_3: As a user, I can read text from Frame elements","","The Internet Guinea Pig Website_3: As a user, I can read text from Frame elements","Then I need make sure that default text is Your content goes here.","Then I need make sure that default text is Your content goes here.",""
